KW,main_category,sub_category,weight
jet,air,fixed_wing,1
fighterjet,air,fixed_wing,1
plane,air,fixed_wing,1
warplane,air,fixed_wing,1
airstrike,air,fixed_wing,1
airstrikes,air,fixed_wing,1
bomber,air,fixed_wing,1
Su-24,air,fixed_wing,1
Su-25,air,fixed_wing,1
Su-27,air,fixed_wing,1
Su-29,air,fixed_wing,1
Su-30,air,fixed_wing,1
MiG-29,air,fixed_wing,1
MiG-30,air,fixed_wing,1
dogfight,air,fixed_wing,1
Tu-95,air,fixed_wing,1
kamikaze,air,loitering_munition,1
drone,air,loitering_munition,1
kamakazee,air,loitering_munition,1
kamakazeedrone,air,loitering_munition,1
suicidedrone,air,loitering_munition,1
Geran-2,air,loitering_munition,1
Switchblade,air,loitering_munition,1
drones,air,loitering_munition,1
helicopter,air,rotary_wing,1
helo,air,rotary_wing,1
Ka-52,air,rotary_wing,1
Mi-8,air,rotary_wing,1
Mi-24,air,rotary_wing,1
intercepted,air,surface_to_air,1
intercepts,air,surface_to_air,1
shotdown,air,surface_to_air,1
MANPADS,air,surface_to_air,1
shootdown,air,surface_to_air,1
Stinger,air,surface_to_air,1
drone,air,uav,1
UAS,air,uav,1
Bayraktar,air,uav,1
UAV,air,uav,1
drones,air,uav,1
IED,blast,ied,1
plant,blast,ied,1
planted,blast,ied,1
placed,blast,ied,1
explosive,blast,ied,1
explosion,blast,ied,1
exploded,blast,ied,1
blast,blast,ied,1
detonate,blast,ied,1
detonated,blast,ied,1
detonation,blast,ied,1
minefield,blast,landmine,1
landmine,blast,landmine,1
mine,blast,landmine,1
planted,blast,landmine,1
plant,blast,landmine,1
placed,blast,landmine,1
explosive,blast,landmine,1
explosion,blast,landmine,1
exploded,blast,landmine,1
blast,blast,landmine,1
detonated,blast,landmine,1
detonate,blast,landmine,1
detonation,blast,landmine,1
navalmine,blast,naval_mine,1
seamine,blast,naval_mine,1
naval,blast,naval_mine,1
sea,blast,naval_mine,1
anchored,blast,naval_mine,1
moored,blast,naval_mine,1
free-floating,blast,naval_mine,1
tethered,blast,naval_mine,1
placed,blast,naval_mine,1
explosive,blast,naval_mine,1
explosion,blast,naval_mine,1
exploded,blast,naval_mine,1
blast,blast,naval_mine,1
detonate,blast,naval_mine,1
detonated,blast,naval_mine,1
detonation,blast,naval_mine,1
remnantsofwar,blast,uxo,1
unexploded,blast,uxo,1
unexplodedordance,blast,uxo,1
UXO,blast,uxo,1
fail,blast,uxo,1
failed,blast,uxo,1
failure,blast,uxo,1
explosive,blast,uxo,1
explosion,blast,uxo,1
exploded,blast,uxo,1
blast,blast,uxo,1
detonate,blast,uxo,1
detonated,blast,uxo,1
detonation,blast,uxo,1
assault,land,direct_fire,1
ambush,land,direct_fire,1
clash,land,direct_fire,1
shotat,land,direct_fire,1
engaged,land,direct_fire,1
Stugna-2,land,direct_fire,1
Javelin,land,direct_fire,1
ATGM,land,direct_fire,1
Lancet,land,direct_fire,1
T-72,land,direct_fire,1
T-80,land,direct_fire,1
T-14,land,direct_fire,1
shelled,land,indirect_fire,1
shelling,land,indirect_fire,1
lobbed,land,indirect_fire,1
artillery,land,indirect_fire,1
rocket,land,indirect_fire,1
mortar,land,indirect_fire,1
HIMARS,land,indirect_fire,1
M777,land,indirect_fire,1
155mm,land,indirect_fire,1
howitzer,land,indirect_fire,1
MLRS,land,indirect_fire,1
precision,land,indirect_fire,1
arrest,security,arrest,1
detain,security,arrest,1
capure,security,arrest,1
clear,security,demining,1
demine,security,demining,1
demined,security,demining,1
dismantle,security,demining,1
dismantled,security,demining,1
defuse,security,demining,1
defused,security,demining,1
exchange,security,exchange,1
swap,security,exchange,1
exchanged,security,exchange,1
swapped,security,exchange,1
POW,security,exchange,1
POWs,security,exchange,1
stopped,security,interdiction,1
searched,security,interdiction,1
seized,security,interdiction,1
boarded,security,interdiction,1
interdicted,security,interdiction,1
interdiction,security,interdiction,1
training,security,military_exercise,1
alliance,security,military_exercise,1
exercise,security,military_exercise,1
drill,security,military_exercise,1
drills,security,military_exercise,1
specialforces,security,raid,1
infiltration,security,raid,1
reconnasiance,security,raid,1
raid,security,raid,1
raided,security,raid,1
seized,security,raid,1
searched,security,raid,1
deployed,security,troop_movement,1
redeployed,security,troop_movement,1
withdrew,security,troop_movement,1
retreated,security,troop_movement,1
advanced,security,troop_movement,1
repositioned,security,troop_movement,1
strategicwithdraw,security,troop_movement,1
pullback,security,troop_movement,1
kidnapped,targeted,abduction,1
abducted,targeted,abduction,1
disappeared,targeted,abduction,1
hijacked,targeted,abduction,1
detain,targeted,abduction,1
detained,targeted,abduction,1
set fire to,targeted,arson,1
burned,targeted,arson,1
Molotov,targeted,arson,1
arson,targeted,arson,1
assassinate,targeted,assassination,1
assassination,targeted,assassination,1
attemptedassassination,targeted,assassination,1
malware,targeted,cyber_attack,1
ransomware,targeted,cyber_attack,1
hacking,targeted,cyber_attack,1
cyberwarfare,targeted,cyber_attack,1
executed,targeted,execution,1
sentencedtodeath,targeted,execution,1
execution,targeted,execution,1
torture,targeted,intimidation,1
tortured,targeted,intimidation,1
murder,targeted,murder,1
murdered,targeted,murder,1
killed,targeted,murder,0.5
disable,targeted,sabotage,1
disrupt,targeted,sabotage,1
sabotage,targeted,sabotage,1
destroyed,targeted,sabotage,0.5
disabled,targeted,sabotage,1
vandalized,targeted,vandalism,1
defaced,targeted,vandalism,1
destroyed,targeted,vandalism,1
